Q R E S T
-06, -09: 4 00 0
-05, -09: 4 00 0
-04, -09: 4 00 0
-03, -09: 4 00 0
-02, -09: 4 00 0
-01, -09: 4 00 0
-00, -09: 4 00 0
+01, -09: 4 00 0
+02, -09: 4 00 0
+03, -09: 4 00 0
+04, -09: 4 00 0
+05, -09: 4 00 0
+06, -09: 4 00 0
+07, -09: 4 00 0
+08, -09: 4 00 0
+09, -09: 4 00 0
+10, -09: 4 00 0
+11, -09: 4 00 0
+12, -09: 4 00 0

-06, -08: 4 00 0
-05, -08: 4 00 0
-04, -08: 4 00 0
-03, -08: 4 04 0
-02, -08: 4 00 0
-01, -08: 4 00 0
-00, -08: 4 00 0
+01, -08: 4 00 0
+02, -08: 4 00 0
+03, -08: 4 00 0
+04, -08: 4 00 0
+05, -08: 4 00 0
+06, -08: 4 00 0
+07, -08: 4 00 0
+08, -08: 4 00 0
+09, -08: 4 00 0
+10, -08: 4 00 0
+11, -08: 4 00 0
+12, -08: 4 00 0

-07, -07: 3 00 0
-06, -07: 3 00 0
-05, -07: 3 00 0
-04, -07: 3 00 0
-03, -07: 3 32 0
-02, -07: 3 00 0
-01, -07: 3 00 0
-00, -07: 3 00 0
+01, -07: 3 00 0
+02, -07: 3 00 0
+03, -07: 3 00 0
+04, -07: 3 00 0
+05, -07: 3 00 0
+06, -07: 3 00 0
+07, -07: 3 00 0
+08, -07: 3 00 0
+09, -07: 3 00 0
+10, -07: 3 00 0
+11, -07: 3 00 0

-07, -06: 3 00 0
-06, -06: 3 00 0
-05, -06: 3 00 0
-04, -06: 3 00 0
-03, -06: 3 00 0
-02, -06: 3 00 0
-01, -06: 3 00 0
-00, -06: 3 00 0
+01, -06: 3 00 0
+02, -06: 3 00 0
+03, -06: 3 00 0
+04, -06: 3 00 0
+05, -06: 3 00 0
+06, -06: 3 00 0
+07, -06: 3 00 0
+08, -06: 3 00 0
+09, -06: 3 00 0
+10, -06: 3 00 0
+11, -06: 3 00 0

-08, -05: 3 00 1
-07, -05: 3 00 0
-06, -05: 3 00 0
-05, -05: 3 00 0
-04, -05: 3 00 0
-03, -05: 3 00 0
